experimentPhase	trialnum	subject	task	noisePercent	firstRespLRifTwo	targetLeftRightIfOne	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	letterSeqStream1	letterSeqStream2	timingBlips
main	0 	Hubert 	 T1T2 	 1.0 	 right 	 right 	13 	K 	M 	0.0 	12.0 	13 	U 	L 	0.0 	-5.0 	19,5,3,11,25,7,1,14,20,24,18,9,17,10,15,13,8,16,4,6,22,2,23,21,0,12	5,9,6,14,22,8,15,23,11,7,17,1,13,20,19,3,12,18,16,24,4,25,2,10,21,0	0
main	1 	Hubert 	 T1 	 1.0 	 right 	 left 	13 	C 	C 	1.0 	0.0 	NaN 	NaN 	NaN 	NaN 	NaN 	1,10,7,22,13,0,14,11,12,5,16,17,21,2,18,23,25,8,15,6,20,4,24,9,19,3	22,18,25,14,24,9,5,8,6,16,19,10,11,12,13,20,2,4,23,0,15,17,7,3,21,1	0
main	2 	Hubert 	 T1T2 	 1.0 	 left 	 left 	17 	R 	U 	0.0 	1.0 	17 	F 	V 	0.0 	7.0 	6,19,11,4,22,14,7,25,10,0,12,8,5,3,15,18,13,17,20,21,1,16,2,23,24,9	10,23,0,16,9,24,20,8,25,22,4,17,12,15,13,1,2,5,11,14,6,19,18,3,21,7	0
main	3 	Hubert 	 T1T2 	 1.0 	 left 	 left 	7 	P 	P 	1.0 	0.0 	7 	G 	Q 	0.0 	7.0 	8,19,9,5,25,23,14,15,3,16,21,6,1,10,12,22,4,2,7,24,17,20,13,18,0,11	7,24,3,2,4,10,20,6,18,22,1,23,0,13,16,17,19,12,11,25,14,5,8,9,21,15	0
main	4 	Hubert 	 T1T2 	 1.0 	 right 	 left 	7 	G 	G 	1.0 	0.0 	7 	W 	M 	0.0 	2.0 	12,24,5,10,8,17,0,6,22,11,9,18,20,14,25,1,2,21,3,4,23,7,15,13,19,16	21,3,17,5,0,7,9,22,10,12,8,25,6,23,4,19,15,24,18,16,11,14,1,20,2,13	0
main	5 	Hubert 	 T1 	 1.0 	 left 	 left 	13 	A 	U 	0.0 	1.0 	NaN 	NaN 	NaN 	NaN 	NaN 	12,1,23,9,11,8,14,19,7,16,17,13,5,0,20,25,6,3,15,21,24,18,2,10,4,22	10,19,8,0,13,22,24,20,1,23,3,12,15,11,6,17,25,14,2,16,9,21,18,5,7,4	0
main	6 	Hubert 	 T1T2 	 1.0 	 right 	 right 	15 	I 	K 	0.0 	4.0 	15 	Q 	Q 	1.0 	0.0 	13,24,1,18,3,21,22,7,25,15,0,19,16,4,12,8,2,11,9,10,14,5,20,6,17,23	15,6,7,25,13,8,18,24,4,1,17,10,9,23,3,16,14,22,2,21,5,12,11,0,20,19	0
main	7 	Hubert 	 T1T2 	 1.0 	 right 	 right 	17 	R 	O 	0.0 	-15.0 	17 	U 	M 	0.0 	1.0 	7,8,14,16,15,0,10,23,19,25,2,11,6,22,5,18,13,17,4,24,1,21,3,12,9,20	6,23,21,2,25,1,5,16,17,10,15,22,13,7,8,14,11,20,12,3,24,9,0,18,19,4	1
main	8 	Hubert 	 T1T2 	 1.0 	 left 	 right 	15 	D 	M 	0.0 	-8.0 	15 	T 	N 	0.0 	-11.0 	10,9,19,25,11,7,23,12,5,6,17,1,14,20,0,3,13,22,8,15,2,24,16,18,4,21	6,10,0,20,13,1,14,11,8,23,9,3,22,16,15,19,2,24,7,21,18,5,25,12,17,4	0
main	9 	Hubert 	 T1T2 	 1.0 	 right 	 left 	11 	L 	M 	0.0 	5.0 	11 	Q 	L 	0.0 	12.0 	22,21,20,18,17,24,10,2,8,14,6,11,5,13,19,0,12,23,16,3,15,1,4,9,25,7	4,9,24,14,20,2,21,1,17,5,3,16,6,25,18,19,10,15,22,7,8,13,0,11,23,12	0
main	10 	Hubert 	 T1 	 1.0 	 right 	 left 	11 	R 	K 	0.0 	13.0 	NaN 	NaN 	NaN 	NaN 	NaN 	6,1,8,15,7,12,3,19,11,9,5,17,22,16,25,0,4,20,2,18,24,23,14,21,10,13	10,21,15,5,9,23,7,14,2,8,1,22,24,12,13,20,19,17,4,25,16,0,3,18,11,6	0
main	11 	Hubert 	 T1T2 	 1.0 	 left 	 right 	13 	I 	X 	0.0 	1.0 	13 	S 	W 	0.0 	4.0 	10,5,14,25,20,9,24,18,1,21,0,6,12,8,23,15,19,11,13,7,4,2,3,16,22,17	25,3,19,4,10,16,12,7,2,20,11,8,5,18,6,1,9,22,0,23,15,14,24,21,17,13	0
